Metabolite ID,Metabolite description
1pyr5c[c],1-Pyrroline-5-carboxylate
accoa[c],Acetyl-CoA
acgam1p[c],N-Acetyl-D-glucosamine-1-phosphate
acser[c],O-Acetyl-L-serine
adp[c],ADP
adpglc[c],ADPglucose
aicar[c],5-Amino-1-5-Phospho-D-ribosyl-imidazole-4-carboxamide
akg[c],2-Oxoglutarate
alaala[c],D-Alanyl-D-alanine
amp[c],AMP
asn-L[c],L-Asparagine
asp-L[c],L-Aspartate
atp[c],ATP
cdp[c],CDP
cmp[c],CMP
co2[c],CO2
coa[c],Coenzyme-A
ctp[c],CTP
dcamp[c],N6-1-2-Dicarboxyethyl-AMP
eig3p[c],D-erythro-1-Imidazol-4-yl-glycerol-3-phosphate
fum[c],Fumarate
g1p[c],D-Glucose-1-phosphate
g6p[c],D-Glucose-6-phosphate
gam1p[c],D-Glucosamine-1-phosphate
gam6p[c],D-Glucosamine-6-phosphate
gdp[c],GDP
gdpmann[c],GDP-D-mannose
gln-L[c],L-Glutamine
glu-L[c],L-Glutamate
glu5sa[c],L-Glutamate-5-semialdehyde
glycogen[c],glycogen
gtp[c],GTP
h2o[c],H2O
h[c],H
his-L[c],L-Histidine
hisp[c],L-Histidinol-phosphate
histd[c],L-Histidinol
imacp[c],3-Imidazol-4-yl-2-oxopropyl-phosphate
imp[c],IMP
man1p[c],D-Mannose-1-phosphate
man6p[c],D-Mannose-6-phosphate
nad[c],Nicotinamide-adenine-dinucleotide
nadh[c],Nicotinamide-adenine-dinucleotide-reduced
nadp[c],Nicotinamide-adenine-dinucleotide-phosphate
nadph[c],Nicotinamide-adenine-dinucleotide-phosphate-reduced
nh4[c],Ammonium
pep[c],Phosphoenolpyruvate
phpyr[c],Phenylpyruvate
pi[c],Phosphate
pphn[c],Prephenate
ppi[c],Diphosphate
prbamp[c],1-5-Phosphoribosyl-AMP
prbatp[c],1-5-Phosphoribosyl-ATP
prfp[c],1-5-Phosphoribosyl-5-5-phosphoribosylamino-methylideneaminoimidazole-4-carboxamide
prlp[c],5-5-phospho-1-deoxyribulos-1-ylamino-methylideneamino-1-5-phosphoribosyl-imidazole-4-carboxamide
prpp[c],5-Phospho-alpha-D-ribose-1-diphosphate
ser-L[c],L-Serine
uaccg[c],UDP-N-acetyl-3-O-1-carboxyvinyl-D-glucosamine
uacgam[c],UDP-N-acetyl-D-glucosamine
uagmda[c],Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine
uamr[c],UDP-N-acetylmuramate
udcpdp[c],Undecaprenyl-diphosphate
udcpp[c],Undecaprenyl-phosphate
ugmd[c],UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate
ugmda[c],UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine
ump[c],UMP
utp[c],UTP
