ID,Gene,Gene Name,6h_Group 1/0h_uninfected,72h_Group 1/0h_uninfected,6h_Group 2/0h_uninfected,48h_Group 2/0h_uninfected,6h_Group 3/0h_uninfected,72h_Group 3/0hr_uninfected,hr72_Group 1/h6_Group 1,hr48_Group 2/hr6_Group 2,hr72_Group 3/hr6_Group 3,P-Value,Adjusted P-Value
N5Tu50o4njwJ33Sq9I,Il1rn,interleukin 1 receptor antagonist,0.57604864,3.14419847,0.715315497,2.975177225,0.074384316,4.448686364,2.56814983,2.259861729,4.374302047,2.79E-12,4.91E-08
Tih0InhS.lDi6paLpA,Saa3,serum amyloid A 3,0.706385678,6.256908642,1.365976118,6.469402389,0.312534328,6.529469225,5.550522963,5.103426271,6.216934897,1.91E-11,3.37E-07
3GtcKjKJ7eyg7gEtGU,Ccl7,chemokine (C-C motif) ligand 7,0.095276371,2.431054183,0.050235942,2.704594686,-0.027972433,1.803315507,2.335777812,2.654358744,1.831287941,2.51E-11,4.42E-07
u3ihxSJbR.n5eUaDUo,Timp1,tissue inhibitor of metalloproteinase 1,0.833005922,3.270722659,1.186787467,2.51924299,0.016479812,4.627482586,2.437716737,1.332455523,4.611002774,2.88E-10,5.07E-06
rcUiW0f5_XlGg1KfuQ,Timp1,tissue inhibitor of metalloproteinase 1,0.860955731,3.195828934,1.175554457,2.510202465,0.073798715,4.656075009,2.334873203,1.334648009,4.582276294,3.45E-10,6.08E-06
Nqae3qtlyzs73uBGDA,Ier3,immediate early response 3,0.315731285,2.138218035,0.344323605,2.100504486,0.634486613,4.205932729,1.82248675,1.756180881,3.571446116,2.35E-09,4.13E-05
3pOoEL3fSd6nJeoB9U,Itgad,"integrin, alpha D",-0.320490558,-1.557858664,-0.271625102,-2.101372912,0.022319241,-1.652166369,-1.237368107,-1.82974781,-1.67448561,3.06E-09,5.39E-05
BX2M091_uQpROoRA1w,Rrbp1,ribosome binding protein 1,0.350304042,1.103621819,0.327656773,1.270060832,0.218545696,1.624424357,0.753317778,0.942404059,1.405878661,3.10E-09,5.46E-05
xoh4eU5PnuJH9.tvS8,Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",-0.31868934,-0.771093778,-0.353982726,-1.789180848,0.196131445,-2.817123565,-0.452404438,-1.435198122,-3.01325501,3.21E-09,5.64E-05
xnuSc_tE_q7EUq3VLE,F7,coagulation factor VII,0.018923123,1.050599073,-0.048849013,0.975678731,0.066565205,0.792510722,1.031675949,1.024527744,0.725945517,3.77E-09,6.63E-05
0on_4LcS9zAlqFwe_k,Xist,inactive X specific transcripts,-0.013835707,-0.65592691,-0.255846865,-0.29050826,3.691814205,0.154533636,-0.642091203,-0.034661395,-3.537280569,4.26E-09,7.50E-05
iOd._i0hA7q8z3pVk0,Adamts4,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4",0.101979607,0.611866221,0.068864384,0.821716534,0.033293637,1.485922218,0.509886614,0.75285215,1.452628581,4.92E-09,8.65E-05
3sXqc09dxRv3zzh4gU,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",0.12998719,1.584351632,0.083961552,1.314185139,0.086123207,1.945956866,1.454364442,1.230223587,1.859833659,5.09E-09,8.96E-05
iWlKSPUFOIddRN0bXI,Itgad,"integrin, alpha D",-0.221206953,-1.803761842,-0.207647154,-2.597199702,0.315808237,-1.542194755,-1.582554889,-2.389552548,-1.858002993,5.20E-09,9.16E-05
EdBqKsFMJSoeHF8BRc,Arg1,"arginase, liver",0.022443348,1.187685976,-0.005436975,0.345287398,-0.001161867,1.146423213,1.165242628,0.350724373,1.14758508,6.01E-09,0.000105819
NSOkfwEsvnt7tqS65I,Clcn7,chloride channel 7,0.019005957,1.495827115,-0.08079561,1.266474029,0.151449964,1.17800043,1.476821158,1.347269639,1.026550465,7.34E-09,0.000129107
HSN7uif7gtxL3MCWoU,Xist,inactive X specific transcripts,-0.099203829,-0.748566387,-0.249140393,-0.23356485,3.110249397,0.152980127,-0.649362558,0.015575543,-2.95726927,1.03E-08,0.00018072
ZRJFVQuXUvfRSv9ERI,Batf2,"basic leucine zipper transcription factor, ATF-like 2",0.542464777,3.230908701,0.35814381,2.795077187,0.06896561,3.397829147,2.688443924,2.436933377,3.328863537,1.15E-08,0.000201837
ZUF7nSTge4TSX_MsoQ,Gas7,growth arrest specific 7,0.254561447,1.635496252,0.298435593,1.531224859,0.078341124,1.81449014,1.380934805,1.232789266,1.736149016,1.22E-08,0.000214789
iknu7Iv0iQvXSS7I4M,Snx10,sorting nexin 10,0.402965001,1.849077436,0.335392767,1.412341793,-0.051001147,1.432501101,1.446112435,1.076949026,1.483502249,1.29E-08,0.000226709
01F71J7uJ9OPu4Qd3U,Dram1,DNA-damage regulated autophagy modulator 1,0.507433427,2.121850135,0.390370982,1.375248998,0.418116961,2.286883077,1.614416708,0.984878016,1.868766117,1.60E-08,0.000281283
B1QaV3uhoN_iIe3mvg,Mlkl,mixed lineage kinase domain-like,0.771850986,2.283744256,0.406451048,1.862872977,0.669169828,2.553903693,1.511893269,1.45642193,1.884733865,1.80E-08,0.00031672
Hs0vfoNGHFOeAqeXeI,Dusp16,dual specificity phosphatase 16,-0.087676893,0.859973213,-0.026106916,1.071136741,-0.412876183,1.321474729,0.947650106,1.097243657,1.734350912,1.97E-08,0.000346318
HKelEfiJ5Klf5zrtf0,Il10,interleukin 10,0.131252367,1.76788157,0.049394441,1.938048273,0.064164894,2.002517487,1.636629202,1.888653832,1.938352593,1.98E-08,0.000348018
Bl_qv1FNfUjOs4INzk,Fam129b,"family with sequence similarity 129, member B",0.070982873,0.920103504,0.234920516,1.134568276,0.045020597,2.044413492,0.849120631,0.89964776,1.999392894,2.40E-08,0.000422734
