Upregulated,Downregulated
1810055G02Rik,1700021K19Rik
4930599N23Rik,1810064F22Rik
AA467197,2310022B05Rik
Acer3,2510042H12Rik
Acot7,4933427G23Rik
Adam8,6720418B01Rik
Adamts2,Abcc3
Adamts4,Abi3
Adora2b,Acss1
Ak2,Adam23
Akap12,Adrbk2
Alas1,Ahnak
Alox5ap,Ahsp
Angpt2,AI467606
Angptl4,Alas2
Ankrd22,Anxa6
Antxr2,Aoc3
Anxa3,Apol7c
Aoah,Araf
Apaf1,Arhgap15
App,Arhgap17
Arg1,Arhgef1
Arg2,Arid1b
Arrdc4,Arid2
Asprv1,Arl4c
Ass1,Arpc2
Atp2a2,Asb2
Batf,Atf4
Batf2,Atp2a3
Bcl3,Bcas2
Bst2,Bcl11a
C2,Bcl11b
Car13,Bcl9l
Casp4,Blk
Casp7,Bnip3l
Ccdc86,Brd3
Ccl11,Btg1
Ccl2,Card11
Ccl3,Cav1
Ccl4,Cbx7
Ccl7,Ccdc80
Ccng1,Ccl21a
Ccr5,Ccl21c
Ccrl2,Ccr6
Cd14,Cd19
Cd274,Cd22
Cd300lf,Cd27
Cd33,Cd37
Cd63,Cd52
Cd69,Cd72
Cd80,Cd79b
Cd9,Cd81
Cd93,Cdr2
Cdc42ep2,Chchd10
Cdc42ep4,Chka
Cdkn1a,Chst3
Cebpb,Ciita
Ch25h,Ckb
Chic2,Clec4g
Chil1,Clk1
Chil3,Cnr2
Chil4,Coch
Chmp4b,Crip2
Cish,Csf1r
Clcn7,Csnk1g3
Clec4d,Ctsb
Clec4e,Ctsw
Clec5a,Cx3cr1
Cnih4,Cxx1a
Col4a1,Cyp27a1
Col4a2,D930015E06Rik
Cox17,Dazap2
Cp,Dbi
Creld2,Dennd6a
Crem,Dmpk
Csf2ra,Dock10
Csf3,Dtx1
Csrnp1,Eef1b2
Cstb,Eif1
Ctps,Eif3k
Ctsc,Epb4.1
Cxcl1,Ephx1
Cxcl10,Erich5
Cxcl16,Faim3
Cxcl2,Fam213a
Cxcl9,Fam49a
Cxcr2,Fam78a
Cycs,Fcgrt
Cyth3,Fchsd2
Dab2,Fcna
