Upregulated,Downregulated
Ass1,2510042H12Rik
Batf2,Alas2
Ccl2,Cx3cr1
Ccl3,Dbp
Ccl4,Fcna
Ccl7,Gdf10
Ccrl2,Igfbp5
Cd14,Nrm
Cdkn1a,Slc46a3
Cebpb,Trf
Cfb,
Clec4d,
Cp,
Cstb,
Cxcl1,
Cxcl2,
Cxcl9,
Dusp1,
Dusp16,
Enc1,
F10,
Fam26f,
Fcgr4,
Gas7,
Gbp2,
Gbp5,
Gbp7,
Gm4951,
Gpnmb,
Hilpda,
Ier3,
Ifng,
Igtp,
Ikbke,
Il10,
Il1r2,
Il1rn,
Irak3,
Itga5,
Lacc1,
Lox,
Mlkl,
Mmp14,
Mmp3,
Mrgpra7,
Mt1,
Nfkbiz,
Oasl1,
Pla1a,
Plin2,
Prdx5,
Psmb1,
Saa3,
Serpina3f,
Slc11a1,
Slc15a3,
Slc2a6,
Slc7a11,
Smpdl3b,
Snx10,
Socs3,
Sod2,
Tgm2,
Timp1,
Tmem2,
Tnf,
Tnfaip2,
Tpi1,
Ubd,
Upp1,
Wars,
