Upregulated,Downregulated
AA467197,2310022B05Rik
Angptl4,2510042H12Rik
Aoah,Abcc3
Asprv1,Acss1
Ass1,Adam23
Batf,AI467606
Batf2,Alas2
Car13,Bnip3l
Casp4,Ccdc80
Ccl2,Clec4g
Ccl3,Coch
Ccl4,Crip2
Ccl7,Cx3cr1
Ccrl2,Cyp27a1
Cd14,Dmpk
Cd274,Fcgrt
Cdkn1a,Fcna
Cebpb,Gdf10
Ch25h,H2-Ke6
Clcn7,Igfbp5
Clec4d,Itgad
Clec4e,Klf2
Col4a1,Limch1
Cp,Mef2c
Creld2,Mrc1
Cstb,Nrep
Cxcl1,Nrm
Cxcl10,Pcdh12
Cxcl16,Prelp
Cxcl2,Rims3
Cxcl9,Slc40a1
Dhx58,Slc46a3
Dram1,Slc4a1
Dusp1,Spon2
Dusp16,Tcf21
Ebi3,Timp2
Edn1,Tmem204
Eif2ak2,Trf
Enc1,
Errfi1,
F10,
Fam26f,
Fas,
Fblim1,
Fcgr4,
Fpr2,
Gas7,
Gbp2,
Gbp3,
Gbp5,
Gbp7,
Glrx,
Gm4951,
Gng12,
Gpnmb,
Gpr84,
Hcar2,
Hilpda,
Hk3,
Icam1,
Ier3,
Ifit2,
Ifitm1,
Ifitm3,
Ifng,
Igtp,
Ikbke,
Il10,
Il1b,
Il1r2,
Il1rn,
Irak3,
Irf7,
Irgm1,
Irgm2,
Itga5,
Lacc1,
Lcn2,
Lox,
Ly6a,
Ly6c1,
Mefv,
Mif,
Mlkl,
Mmp14,
Mmp3,
Mrgpra2b,
Mrgpra7,
Ms4a6d,
Msrb1,
Mt1,
Nfkbiz,
Oas1g,
Oas2,
Oasl1,
Oasl2,
Pex11a,
Phf11d,
Pkm,
Pla1a,
Plin2,
Plod3,
Ppa1,
Prdx5,
Psmb1,
Rnf213,
Rrbp1,
Saa3,
Samhd1,
Sct,
Sdc4,
Sdf2l1,
Serpina3f,
Serpina3g,
Serpina3n,
Serping1,
Slc11a1,
Slc15a3,
Slc2a6,
Slc7a11,
Slfn1,
Smpdl3b,
Snx10,
Socs3,
Sod2,
Tgm2,
Timp1,
Tlr2,
Tmem2,
Tnf,
Tnfaip2,
Tnfaip3,
Tnip1,
Tpi1,
Tspo,
Ubd,
Upp1,
Usp18,
Vmp1,
Wars,
Wfdc17,
Xdh,
