Upregulated,Downregulated
Hsd11b1,2510042H12Rik
Htatip2,Actr3
Ppp2cb,Aif1
Tmed10,Apol7c
Xist,Arhgef1
,Arpc2
,Atf4
,Atp13a1
,Btg1
,Ccr6
,Cct8
,Cd52
,Chd7
,Chordc1
,Ctsb
,Ctsz
,Dazap2
,Ddx3y
,Eef1b2
,Eif1
,Eif2s3y
,Eif3k
,Fam134b
,Fcrla
,Ftl1
,Fuca1
,Gimap5
,Ginm1
,Gltscr2
,Gm10029
,Gm14407
,Gm6548
,Gpr171
,Grcc10
,H2-Aa
,H2-K1
,H2-T23
,Hbb-bt
,Hspa8
,Hsph1
,Ifi27l2a
,Igfbp3
,Il11ra1
,Il16
,Irf2bpl
,Irf8
,Ist1
,Jkamp
,Klra4
,Kmt2e
,Lsm14b
,Mapk11
,Mcl1
,Med28
,Mif4gd
,Mpeg1
,Mrpl52
,Naca
,Ndst1
,Nfe2l1
,Nt5c
,Pabpc1
,Pkig
,Polr2g
,Ptp4a2
,Ptpn1
,Ptpn18
,Ptpre
,Rarres2
,Rin3
,Rnase6
,Rpl18a
,Rpl32
,Rps12l2
,Rps3a1
,Sash3
,Scd1
,Siglech
,Slamf6
,Slc50a1
,Slco2b1
,Smim14
,Snx8
,Stat3
,Stk17b
,Swap70
,Tcof1
,Tex261
,Tk2
,Tmem109
,Tmem176b
,Tsc22d3
,Ube2q1
,Ubxn1
,Usp10
,Vav2
,Wasf2
,Wipf1
,Ywhab
,Ywhaz
,Zc3h12d
,Zeb2
,Zfp263
,Zfp36l1
