Upregulated,Downregulated
1810055G02Rik,1700021K19Rik
Acot7,1810064F22Rik
Adam8,4933427G23Rik
Adamts2,6720418B01Rik
Adamts4,Abi3
Ak2,Adrbk2
Akap12,Ahsp
Alas1,Anxa6
Alox5ap,Aoc3
Angpt2,Araf
Ankrd22,Arhgap15
Antxr2,Arhgap17
Anxa3,Arid1b
Apaf1,Arid2
App,Arl4c
Arg2,Arpc2
Arrdc4,Asb2
Atp2a2,Atf4
C2,Atp2a3
Ccl11,Bcas2
Ccng1,Bcl11a
Ccr5,Bcl11b
Cd300lf,Bcl9l
Cd33,Blk
Cd69,Brd3
Cd80,Btg1
Cd9,Card11
Cd93,Cav1
Cdc42ep4,Cbx7
Chic2,Ccl21a
Chil1,Ccl21c
Chil4,Ccr6
Chmp4b,Cd19
Cish,Cd22
Clec5a,Cd27
Col4a2,Cd37
Cox17,Cd52
Crem,Cd72
Csf2ra,Cd79b
Csf3,Cd81
Csrnp1,Cdr2
Ctps,Chchd10
Cxcr2,Chka
Cycs,Chst3
Cyth3,Ciita
Dab2,Clk1
Dgat1,Cnr2
Dgat2,Csf1r
Ear3,Csnk1g3
Ear4,Ctsb
Emp1,Ctsw
Flot1,Cxx1a
Fmnl2,D930015E06Rik
Fos,Dazap2
Furin,Dbi
G0s2,Dennd6a
Galk1,Dock10
Gapdh,Dtx1
Gcnt2,Eef1b2
Gde1,Eif1
Gja4,Eif3k
Gm6316,Epb4.1
Gorasp2,Ephx1
Gosr2,Erich5
Gpr35,Faim3
Gsdmd,Fam213a
Gyk,Fam49a
H2-Q8,Fchsd2
H2-T10,Fgd2
Hat1,Fgfr1op2
Hif1a,Foxo1
Hsd11b1,Ftl1
Hsd3b7,Fuca1
Ifi35,Fxyd6
Ifitm2,Gal3st2
Ifnlr1,Gga2
Il12a,Gigyf1
Il27,Gimap5
Il33,Glg1
Inhba,Gltscr2
Insl6,Gm10029
Irak2,Gm10125
Jun,Gm11425
Junb,Gm14407
Lamp2,Gm2174
Ldha,Gm6548
Litaf,Gm7609
Lrrc8d,Gprasp1
Lyz2,Grap
Map3k8,Grcc10
Mapk1ip1l,Gripap1
Mapk6,H2-Aa
Mapkapk2,Haao
Mb21d1,Hap1
Mcemp1,Hbb-bt
Mettl9,Hcfc1
Mfsd7a,Hdac7
Mgst1,Hhex
Milr1,Hmgcs2
Mocos,Hs3st3a1
Mt2,Hsd3b2
Mvp,Htra3
Mxd1,Ift140
Myd88,Igf1
Ndel1,Igfbp3
Ndrg1,Il16
Ndufab1,Il6ra
Neu1,Inpp5f
Nfkbia,Irf2bpl
Ngp,Isca1
Nos2,Itgb5
Ntng2,Itgb7
Nus1,Itm2b
Orm1,Itpr3
Osm,Kansl2
Ostc,Kctd2
P4hb,Klk8
Parp14,Kmt2c
Pcgf5,Kmt2e
Pdpn,Lat2
Pfkp,Lbh
Pgam1,Lck
Phlda1,Lipa
Pik3ap1,LOC100041504
Pik3r6,Lsm14b
Pira11,Ltb
Pira4,Luc7l3
Plagl2,Ly6d
Plaur,Map3k1
Plk3,Map4k1
Plscr1,Mapk11
Ppp1r3b,March2
Ppp2cb,Mast3
Prok2,Matr3
Psma5,Mcl1
Psma7,Mif4gd
Psmb2,Msc
Psmb7,Myl12b
Psme1,Naca
Ptges,Nt5c
Rab15,Nudt16l1
Ramp3,Pabpc1
Rbms1,Phxr4
Rdh12,Pip4k2a
Retnlg,Plekhg2
Rgs16,Pold1
Rhoc,Polr2a
Rhou,Pou2f2
Rps27a,Pramel4
Rtn3,Prkd2
S100a8,Prpf6
Samsn1,Ptp4a2
Scamp1,Ptpn18
Sdcbp,Ptpre
Selp,Pygb
Sema4a,Rab11fip4
Sepn1,Ralgps2
Serpina3b,Rasgrp3
Sgms2,Rassf3
Slamf9,Rassf5
Slc25a20,Rcsd1
Slc2a1,Rdm1
Slco3a1,Rgs10
Snrpd1,Rhbdl2
Snx18,Rin3
Sparc,Rn18s
Spcs3,Rnase6
Sphk1,Rogdi
Spp1,Rpl12
Sppl2a,Rpl18a
Srm,Rpl23
Stat3,Rpl26
Stfa1,Rpl29
Stfa2,Rpl32
Tbc1d2,Rpl39
Tdrd7,Rps10
Thbs1,Rps12l2
Timp3,Rps3a1
Tinagl1,Sash3
Tlr6,Sbk1
Tmbim4,Scd1
Tmed7,Sema5a
Tmem248,Setd1b
Tmem33,Sgip1
Tmem38b,Siglech
Tnfrsf12a,Sipa1
Tnfrsf21,Slamf6
Trem1,Slc25a37
Trem3,Slc25a39
Trex1,Slc50a1
Ttc39b,Slco2b1
Uck2,Snn
Vdr,Snx29
Vim,Snx8
Zfp36,Sptssa
,Srsf5
,St6galnac3
,Stab2
,Tcf25
,Tcof1
,Tk2
,Tmem109
,Tmem176b
,Tmem86a
,Tnfrsf13b
,Tnfrsf13c
,Tpcn1
,Trib2
,Trim39
,Tshz1
,Ube2o
,Usp10
,Vav2
,Wasf2
,Wipf1
,Xkrx
,Ywhab
,Ywhaz
,Zbtb20
,Zc3h12d
,Zer1
,Zfp263
,Zfp318
,Zfp36l1
,Zxda
