Upregulated,Downregulated
4930599N23Rik,Abcc3
Adamts4,Acss1
Akap12,Add3
Aldoa,Ahnak
Angpt2,Ahsp
Angptl4,Ank
Antxr2,Bnip3l
Arg2,Cbfa2t3
Arrdc4,Cd209b
Avpr1a,Cdc25b
Batf,Ckb
Bcl3,Crip2
Bhlhe40,Dmpk
Casp4,E2f2
Ccdc86,Epb4.1
Ccl11,Fam78a
Cd274,Fcgrt
Cd69,Glo1
Cd80,Hbb-bs
Cdc42ep2,Hebp1
Clec4e,Ift140
Col4a1,Igfbp4
Col4a2,Itgad
Crem,Limch1
Csrnp1,March2
Ctgf,Pcdh12
Cxcl10,Pisd-ps1
Cxcl16,Prelp
Daxx,Ptp4a3
Ddx3y,Rbm38
Dtx3l,Reln
Egr1,Rims3
Ehd1,Rnf10
Eif2ak2,Slc25a37
Emp1,Slc48a1
Errfi1,Slco2b1
Ets2,Spon2
Fam129b,Srsf5
Fcer1g,St5
Fkbp1a,St6galnac3
Fpr2,Stab2
Furin,Tbcel
G0s2,Tmc6
Gadd45b,Ube2o
Gbp3,Xist
Gja4,Ypel3
Gm5483,
Gpr171,
Gpr35,
Gvin1,
Hcar2,
Hdc,
Icam1,
Ifi47,
Ifitm1,
Ifitm2,
Ifitm3,
Il12a,
Il1a,
Il33,
Insl6,
Irak2,
Irf1,
Irgm2,
Junb,
Litaf,
Ly6a,
Ly6c1,
Mapkapk2,
Marcksl1,
Mfsd7a,
Mrgpra2b,
Msrb1,
Mvp,
Mxd1,
Myd88,
Ndrg1,
Nfkbia,
Nos2,
Ntng2,
Nus1,
Oas2,
Oasl2,
Osm,
Pdgfa,
Pdpn,
Per1,
Phf11d,
Phlda1,
Plaur,
Plk3,
Plod3,
Ppa1,
Psmb10,
Psmb9,
Psme1,
Ptges,
Ramp3,
Rgs16,
Rhoc,
Rrbp1,
Samsn1,
Schip1,
Sdc4,
Sema3f,
Serpina3b,
Serpina3g,
Serpinh1,
Slamf9,
Slc2a1,
Slco3a1,
Slfn1,
Snx20,
Sp140,
Spp1,
Tap2,
Thbs1,
Timp3,
Tlr6,
Tnfrsf12a,
Traf1,
Trafd1,
Trem1,
Trex1,
Trim30d,
Tubb6,
Usp18,
Vdr,
Wdr92,
Zfp36,
