Upregulated,Downregulated
aat,ackA
aceA,adh
ada,artI
araD,asnS
bcfG,crr
caiA,cspC
cbiC,dapA
cbiK,def
ccmE2,dsbA
ccmF2,fimB
ccmH1,flhC
cII,FQ312003_intergenic_1118390_1118645
citD,FQ312003_intergenic_1169862_1170587
citX,FQ312003_intergenic_1291293_1291894
citX2,FQ312003_intergenic_1326592_1326802
cobU,FQ312003_intergenic_1407157_1407343
creC,FQ312003_intergenic_1925541_1925813
cysN,FQ312003_intergenic_2131749_2131892
dhaF,FQ312003_intergenic_2594527_2594999
dppC,FQ312003_intergenic_2862841_2862953
dppF,FQ312003_intergenic_3066559_3066914
dsdA,FQ312003_intergenic_3242827_3243091
eutD,FQ312003_intergenic_3271796_3271989
eutH,FQ312003_intergenic_3534710_3534911
eutN,FQ312003_intergenic_436345_436534
eutR,FQ312003_intergenic_4381408_4381883
fimF,FQ312003_intergenic_458212_458320
fixA,FQ312003_intergenic_4662134_4662300
fixB,FQ312003_intergenic_523885_524014
FQ312003_intergenic_100694_100791,FQ312003_intergenic_807408_808889
FQ312003_intergenic_1051690_1051833,FQ312003_intergenic_932915_933160
FQ312003_intergenic_1072777_1072883,FQ312003.4083
FQ312003_intergenic_1224290_1224445,frdB
FQ312003_intergenic_1246254_1246494,gcvT
FQ312003_intergenic_1495400_1496002,glgC
FQ312003_intergenic_1855531_1855600,gloA
FQ312003_intergenic_1969052_1969144,gltA
FQ312003_intergenic_2003085_2003252,grpE
FQ312003_intergenic_2058461_2058553,grxC
FQ312003_intergenic_2060888_2060903,gst
FQ312003_intergenic_2067465_2067721,hslV
FQ312003_intergenic_2274523_2274547,htpX
FQ312003_intergenic_2291816_2291931,hupA
FQ312003_intergenic_2305121_2305388,imp
FQ312003_intergenic_2307525_2307811,invF
FQ312003_intergenic_274049_274127,iolR
FQ312003_intergenic_2755773_2755958,manA
FQ312003_intergenic_2770435_2770585,miaB
FQ312003_intergenic_2921939_2922954,mltD
FQ312003_intergenic_2965507_2965535,mraZ
FQ312003_intergenic_298129_298180,nifU
FQ312003_intergenic_3085623_3085692,ompD
FQ312003_intergenic_3136109_3136488,ompR
FQ312003_intergenic_3195470_3195486,oppA
FQ312003_intergenic_3239110_3239134,osmB
FQ312003_intergenic_3246207_3246259,osmC
FQ312003_intergenic_3300322_3300462,osmY
FQ312003_intergenic_3321073_3321271,phoH
FQ312003_intergenic_3422658_3422669,pipC
FQ312003_intergenic_3561124_3561216,priB
FQ312003_intergenic_3735360_3735382,pssA
FQ312003_intergenic_3756978_3757198,relB
FQ312003_intergenic_3854834_3854951,rfaQ
FQ312003_intergenic_3873924_3873996,rfbB
FQ312003_intergenic_3876775_3876903,ribB
FQ312003_intergenic_3964008_3964027,rimJ
FQ312003_intergenic_397604_397995,rpiA
FQ312003_intergenic_4008934_4008975,rpl32
FQ312003_intergenic_4033563_4033583,rplM
FQ312003_intergenic_4069436_4069464,rplU
FQ312003_intergenic_4193622_4193864,rplX
FQ312003_intergenic_4232471_4232558,rpoE
FQ312003_intergenic_4354637_4354696,rpoH
FQ312003_intergenic_4398253_4398302,rppH
FQ312003_intergenic_4445622_4445684,rps16
FQ312003_intergenic_4463153_4463495,rpsG
FQ312003_intergenic_4474779_4474841,rpsU
FQ312003_intergenic_4745170_4745263,rseA
FQ312003_intergenic_4801235_4801291,rseB
FQ312003_intergenic_4812377_4812599,sciX
FQ312003_intergenic_4826173_4826649,sdaA
FQ312003_intergenic_510076_510124,sdhB
FQ312003_intergenic_631598_631624,secE
FQ312003_intergenic_643352_643439,SL0361
FQ312003_intergenic_725955_725970,SL0448
FQ312003_intergenic_832525_832542,SL0656
