Upregulated,Downregulated
astD,adiY
cbiQ,argR
creB,blc
entD,dnaT
eutG,exoX
eutK,fimA
FQ312003_intergenic_1307302_1307397,fimZ
FQ312003_intergenic_1576510_1576585,fliD
FQ312003_intergenic_3530480_3530513,fliZ
FQ312003_intergenic_3923753_3923937,FQ312003_intergenic_11296_11542
fruB,FQ312003_intergenic_1368214_1369004
hycA,FQ312003_intergenic_253893_254242
iolI1,FQ312003_intergenic_3046708_3046937
iroB,FQ312003_intergenic_350141_350370
malE,FQ312003_intergenic_3571173_3571464
murC,FQ312003_intergenic_3825795_3825938
nam,FQ312003_intergenic_4318205_4318502
pduA,FQ312003_intergenic_4593013_4593213
pduU,FQ312003_intergenic_4595130_4595304
psiB,FQ312003_intergenic_4776468_4776855
pSLT1344_intergenic_54221_54378,FQ312003_intergenic_4777565_4777973
ruvC,FQ312003_intergenic_4845562_4845670
SL0234,FQ312003_intergenic_617261_618027
SL0876,FQ312003.3689
SL1195,fur
SL1948,katE
SL1949,lysP
SL2154,pSLP2_intergenic_65663_65956
SL2310,sdiA
SL2597A,sfsA
SL2920,sinR
SL3284,SL0339
SL4061,SL0836
SL4452,SL1031
tctE,SL1149
traQ,SL1213
yhgG,SL1231
,SL1430
,SL1482
,SL1786
,SL1967
,SL1977
,SL1987
,SL2730
,SL2880
,SL3169
,SL3429
,SL4250
,tpx
,yafD
,yejD
,yejG
,yghB
,yheL
,yhjH
,yrfG
