Upregulated,Downregulated
citE,arcA
csiD,artJ
ddl,aspA
eutJ,atpI
FQ312003_intergenic_2277817_2277892,cbpA
FQ312003_intergenic_2920037_2920158,cybC
FQ312003_intergenic_3022215_3022323,dctA
hisA,dppA
hmpA,emrR
hpcB,fldA
mukB,fnr
murG,FQ312003_intergenic_1706565_1706950
narK,FQ312003_intergenic_2039709_2040021
ptsG,FQ312003_intergenic_2768884_2768934
SL0600,FQ312003_intergenic_2833416_2833437
SL0989,FQ312003_intergenic_2863777_2863872
SL1565,FQ312003_intergenic_3138169_3138679
SL1939,FQ312003_intergenic_3295662_3295985
SL2309,FQ312003_intergenic_3379260_3379595
SL2312,FQ312003_intergenic_3417512_3417760
SLP1_0074,FQ312003_intergenic_3549085_3549397
SLP1_0098,FQ312003_intergenic_4167601_4167861
tagK,FQ312003_intergenic_737334_738299
tolA,ftsB
torD,galF
yejE,glpC
,glpD
,glpT
,gtgE
,himD
,msyB
,nuoA
,ompF
,pckA
,pflA
,prgH
,rcsF
,rfaH
,rfc
,rho
,ribA
,sdaC
,sicP
,sigD
,sipB
,sipC
,sirA
,SL0161
,SL0397
,SL0464
,SL0829
,SL0924
,SL1147
,SL1220
,SL1300
,SL1364
,SL1392
,SL1537
,SL1568
,SL1582
,SL1589
,SL1593
,SL1663
,SL1732
,SL1741
,SL1752
,SL2300
,SL2305
,SL2467
,SL2468
,SL2623
,SL2752
,SL2929
,SL3011
,SL3012
,SL3026
,SL3199
,SL3261
,SL3478
,SL3751
,SL3808
,SL3948
,SL4400
,SL4419
,tar
,ucpA
,uspA
,yajD
,yajG
,ybaJ
,ybeD
,ybeL
,yceB
,yebG
,yehS
,yfiA
,yfiD
,yihD
,yjeS
,yjgF
,yliG
,yrdC
