Upregulated,Downregulated
astE,acrR
eutE,artP
FQ312003_intergenic_1677771_1678095,crl
FQ312003_intergenic_4534811_4534955,dcuA
FQ312003_intergenic_4553815_4553880,dmsA
ivbL,dps
narH,dut
nirB,eco
pSLT1344_intergenic_90163_91002,exc
SL2269,flaG
SL3220,fldB
SL4006,flgM
SL4062,fliB
traL,fliC
,focA
,FQ312003_intergenic_1000151_1000308
,FQ312003_intergenic_1047490_1047995
,FQ312003_intergenic_1295345_1295925
,FQ312003_intergenic_1462286_1462474
,FQ312003_intergenic_1979685_1980370
,FQ312003_intergenic_2079825_2080015
,FQ312003_intergenic_2093600_2093960
,FQ312003_intergenic_2319859_2320148
,FQ312003_intergenic_2437265_2437558
,FQ312003_intergenic_2541969_2542251
,FQ312003_intergenic_2681193_2681251
,FQ312003_intergenic_3369121_3369220
,FQ312003_intergenic_3532659_3532820
,FQ312003_intergenic_3549969_3550232
,FQ312003_intergenic_3636871_3637077
,FQ312003_intergenic_3758154_3758298
,FQ312003_intergenic_3781840_3782126
,FQ312003_intergenic_4031699_4031898
,FQ312003_intergenic_4146288_4146330
,FQ312003_intergenic_477195_477303
,FQ312003_intergenic_4836111_4836411
,FQ312003_intergenic_4876953_4877251
,FQ312003_intergenic_527491_527568
,FQ312003_intergenic_756308_756488
,FQ312003_intergenic_765039_765699
,FQ312003_intergenic_797045_797352
,FQ312003.3325
,glgS
,glmU
,glpA
,gmk
,gpB
,greB
,hemB
,hha
,hilD
,hslS
,hslT
,invH
,ispB
,kdgR
,maa
,mdoG
,melR
,mgsA
,mscL
,nfnB
,parA
,pocR
,ppiA
,ppk
,purU
,pyrG
,ramA
,repA2
,rnpA
,rpmH
,rpsL
,samB
,sdhC
,sipA
,SL0160
,SL0286A
,SL0555
,SL0736
,SL0818
,SL0868
,SL1019
,SL1065
,SL1098
,SL1150
,SL1177
,SL1218
,SL1235
,SL1236
,SL1322
,SL1433
,SL1439
,SL1480
,SL1523
,SL1584
,SL1585
,SL1594
,SL1636
,SL1686
,SL2594
,SL2644
,SL2659
,SL2695
,SL2715
,SL2732
,SL2784
,SL3150
,SL3198
,SL3333
,SL3484
,SL3518
,SL3561
,SL3607
,SL3653
,SL3743
,SL3812
,SL3858
,SL4127
,SL4186
,SL4251
,SL4427
,SL4429
,SL4431
,SL4433
,SL4445
,SL4526
,SLP1_0091
,SLP3_0002
,smpA
,smpB
,sopE
,spaT
,spvD
,stbA
,stpA
,trcD
,ubiC
,ubiG
,udhA
,udk
,yacA
,yadF
,yaeB
,yafB
,yafK
,ybdO
,ybfA
,yecH
,yecI
,yehE
,yffB
,ygjM
,ygjN
,yhdV
,yheA
,yhfA
,yohN
