Reaction ID,Reaction description
ASNS2,asparagine synthetase
PGMT,phosphoglucomutase
PMANM,phosphomannomutase
PPA,inorganic diphosphatase
G5SADs,L glutamate 5 semialdehyde dehydratase spontaneous
G1PACT,glucosamine 1 phosphate N acetyltransferase
MAN1PT2,mannose 1 phosphate guanylyltransferase GDP
PAPPT3,phospho N acetylmuramoyl pentapeptide transferase meso 2 6 diaminopimelate
PGAMT,phosphoglucosamine mutase
UAGCVT,UDP N acetylglucosamine 1 carboxyvinyltransferase
UAGDP,UDP N acetylglucosamine diphosphorylase
UAPGR,UDP N acetylenolpyruvoylglucosamine reductase
UDCPDP,undecaprenyl diphosphatase
UGMDDS,UDP N acetylmuramoyl L alanyl D glutamyl meso 2 6 diaminopimeloyl D alanyl D alanine synthetase
SERAT,serine O acetyltransferase
GLCS1,glycogen synthase ADPGlc
GLGC,glucose 1 phosphate adenylyltransferase
ATPPRT,ATP phosphoribosyltransferase
HISTD,histidinol dehydrogenase
HISTP,histidinol phosphatase
HSTPT,histidinol phosphate transaminase
IG3PS,Imidazole glycerol 3 phosphate synthase
IGPDH,imidazoleglycerol phosphate dehydratase
PRAMPC,phosphoribosyl AMP cyclohydrolase
PRATPP,phosphoribosyl ATP pyrophosphatase
CYTK1,cytidylate kinase CMP
ADSL1r,adenylsuccinate lyase
ADSS,adenylosuccinate synthase
CTPS2,CTP synthase glutamine
PPNDH,prephenate dehydratase
