Gene Name,Product Annotation,BaseMean,BaseMeanA,BaseMeanB,Fold Change,log2 Fold-Change,P-value,FDR,Effect
aceK,isocitrate dehydrogenase kinase/phosphatase,74.5296468,25.17722147,107.4312637,4.26700237,2.093222912,8.96E-14,1.07E-11,Upregulated
acrR,potential acrAB operon repressor,175.2791214,380.9280184,38.17985672,0.100228534,-3.318634812,0.000728373,0.009089999,Downregulated
adiY,putative AraC family regulatory protein,121.6421485,276.1142602,18.66074068,0.067583401,-3.887187244,3.47E-16,7.33E-14,Downregulated
amiA,probable N-acetylmuramoyl-L-alanine amidase,59.96412683,98.74642888,34.10925879,0.345422707,-1.53356517,0.012292552,0.092427006,Downregulated
ampD,AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase),57.7995055,97.46058502,31.35878582,0.321758645,-1.635949182,0.007244623,0.060362643,Downregulated
apbA,2-dehydropantoate 2-reductase,63.3502746,107.4259757,33.96647384,0.316184923,-1.66115952,0.000338664,0.004896046,Downregulated
arcC,carbamate kinase,12.91894252,3.647015644,19.1002271,5.237221051,2.388801499,0.002879466,0.028229976,Upregulated
argC,N-acetyl-gamma-glutamyl-phosphate reductase,53.59987323,101.6841333,21.54369985,0.211868845,-2.238756639,0.003296775,0.031473144,Downregulated
argR,arginine repressor,92.46413532,163.0949044,45.37695592,0.278224241,-1.845679973,0.000103845,0.001766437,Downregulated
artP,arginine transport ATP-binding protein ArtP,204.4019983,390.6713918,80.22240262,0.205344963,-2.283878533,0.000121005,0.002026754,Downregulated
asrA,anaerobic sulfite reductase subunit A,48.77139668,85.91683656,24.00777008,0.279430331,-1.839439467,0.005035781,0.044506516,Downregulated
astA,arginine N-succinyltransferase,37.62842058,16.17271909,51.93222157,3.211100205,1.683067686,5.82E-05,0.001085688,Upregulated
astB,succinylarginine dihydrolase,26.23319366,4.632541831,40.63362822,8.771346207,3.132798281,1.11E-15,2.27E-13,Upregulated
astD,succinylglutamic semialdehyde dehydrogenase,47.34318655,6.029458455,74.88567195,12.41996649,3.634589376,0.000825821,0.010009471,Upregulated
